INFO  - 2017-09-02 20:28:15.686; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2017-09-02 20:28:15.724; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2017-09-02 20:28:15.724; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2017-09-02 20:28:15.724; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2017-09-02 20:28:15.725; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2017-09-02 20:28:15.726; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2017-09-02 20:28:15.726; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2017-09-02 20:28:15.727; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2017-09-02 20:28:15.727; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2017-09-02 20:28:15.729; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2017-09-02 20:28:15.729; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2017-09-02 20:28:15.729; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2017-09-02 20:28:15.731; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2017-09-02 20:28:15.736; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2017-09-02 20:28:15.746; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2017-09-02 20:28:15.785; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2017-09-02 20:28:15.797; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-09-02 20:28:15.797; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2017-09-02 20:28:15.797; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-09-02 20:28:15.798; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2017-09-02 20:28:15.798; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-09-02 20:28:15.798; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2017-09-02 20:28:15.798; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2017-09-02 20:28:15.798; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2017-09-02 20:28:15.916; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-09-02 20:28:15.923; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-09-02 20:28:15.925; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-09-02 20:28:15.927; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-09-02 20:28:15.933; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2017-09-02 20:28:16.075; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2017-09-02 20:28:16.075; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2017-09-02 20:28:16.124; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/home/alice727/Solr/solr-4.10.4/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/home/alice727/Solr/solr-4.10.4/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2017-09-02 20:28:16.129; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2017-09-02 20:28:16.144; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@29035cc1[collection1] main
INFO  - 2017-09-02 20:28:16.215; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: /home/alice727/Solr/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-09-02 20:28:16.217; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=/home/alice727/Solr/solr-4.10.4/example/solr/collection1/conf}
INFO  - 2017-09-02 20:28:16.218; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=/home/alice727/Solr/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-09-02 20:28:16.353; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=/home/alice727/Solr/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-09-02 20:28:16.354; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2017-09-02 20:28:16.354; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2017-09-02 20:28:16.355; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=/home/alice727/Solr/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-09-02 20:28:16.377; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=/home/alice727/Solr/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-09-02 20:28:16.378; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2017-09-02 20:28:16.382; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2017-09-02 20:28:16.382; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2017-09-02 20:28:16.383; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=/home/alice727/Solr/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-09-02 20:28:16.482; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=/home/alice727/Solr/solr-4.10.4/example/solr/collection1/conf
INFO  - 2017-09-02 20:28:16.482; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2017-09-02 20:28:16.483; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2017-09-02 20:28:16.536; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2017-09-02 20:28:16.537; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2017-09-02 20:28:16.669; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2017-09-02 20:28:16.762; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2017-09-02 20:28:16.766; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /home/alice727/Solr/solr-4.10.4/example/solr/collection1/conf/elevate.xml
INFO  - 2017-09-02 20:28:17.143; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2017-09-02 20:28:17.143; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@29035cc1[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2017-09-02 20:28:17.162; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2017-09-02 20:28:17.169; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/home/alice727/Solr/solr-4.10.4/example
INFO  - 2017-09-02 20:28:17.176; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2017-09-02 20:28:17.398; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
